,Date,Condition?,Posted,Enter Time,ETA,BofQ,_ to 4,Section 4,4 to 3,Section 3,3 to 2,Section 2,2 to 1,Section 1,1 to Cave,Cave,Cave to Int.,Interior,Int. to Rey,Rey Room,Total Time,Minutes,% of Actual
17,9/29/2023,n/a,45,4:46:00 PM,5:31:00 PM,1,0.00,n/a,0.00,n/a,0.00,n/a,0.00,4:46:00 PM,4.00,4:50:00 PM,7.00,4:57:00 PM,16.00,5:13:00 PM,0:27,27,60.00%
18,9/29/2023,n/a,45,5:34:00 PM,6:19:00 PM,0,0.00,n/a,0.00,n/a,0.00,n/a,0.00,n/a,0.00,5:34:00 PM,3.00,5:47:00 PM,16.00,6:03:00 PM,0:29,29,64.44%
19,10/1/2023,rope drop,60,8:10:00 AM,9:10:00 AM,1,0.00,n/a,0.00,n/a,0.00,n/a,0.00,8:10:00 AM,3.00,8:13:00 AM,1.00,8:14:00 AM,6.00,8:20:00 AM,0:10,10,16.67%
20,10/1/2023,post rope drop,55,8:40:00 AM,9:35:00 AM,2,0.00,n/a,0.00,8:40:00 AM,4.00,8:44:00 AM,0.00,8:44:00 AM,5.00,8:49:00 AM,3.00,8:52:00 AM,10.00,9:02:00 AM,0:22,22,40.00%
21,10/1/2023,n/a,55,10:45:00 AM,11:40:00 AM,3,0.00,n/a,0.00,10:45:00 AM,5.00,10:50:00 AM,5.00,10:55:00 AM,8.00,11:03:00 AM,9.00,11:12:00 AM,24.00,11:36:00 AM,0:51,51,92.73%
22,10/1/2023,n/a,45,12:31:00 PM,1:16:00 PM,0,0.00,n/a,0.00,n/a,0.00,n/a,0.00,n/a,0.00,12:31:00 PM,3.00,12:38:00 PM,17.00,12:55:00 PM,0:24,24,53.33%
23,10/3/2023,parade + OBB,120,7:06:00 PM,9:06:00 PM,3,0.00,n/a,0.00,7:06:00 PM,7.00,7:13:00 PM,5.00,7:18:00 PM,4.00,7:22:00 PM,27.00,7:49:00 PM,51.00,8:40:00 PM,1:34,94,78.33%
24,10/3/2023,n/a,90,9:05:00 PM,10:35:00 PM,2,0.00,n/a,0.00,n/a,0.00,9:05:00 PM,10.00,9:15:00 PM,6.00,9:21:00 PM,8.00,9:29:00 PM,36.00,10:05:00 PM,1:00,60,66.67%
25,10/5/2023,n/a,90,11:39:00 AM,1:09:00 PM,3,0.00,n/a,0.00,11:39:00 AM,9.00,11:48:00 AM,10.00,11:58:00 AM,3.00,12:01:00 PM,6.00,12:07:00 PM,33.00,12:40:00 PM,1:01,61,67.78%
26,10/5/2023,n/a,60,1:16:00 PM,2:16:00 PM,3,0.00,n/a,0.00,1:16:00 PM,7.00,1:23:00 PM,3.00,1:26:00 PM,5.00,1:31:00 PM,10.00,1:41:00 PM,29.00,2:10:00 PM,0:54,54,90.00%
27,10/10/2023,pre parade,60,6:20:00 PM,7:20:00 PM,1,0.00,n/a,0.00,n/a,0.00,n/a,0.00,6:20:00 PM,3.00,6:23:00 PM,6.00,6:29:00 PM,13.00,6:42:00 PM,0:22,22,36.67%
28,10/10/2023,post parade,60,7:05:00 PM,8:05:00 PM,3,0.00,n/a,0.00,7:05:00 PM,14.00,7:19:00 PM,2.00,7:21:00 PM,3.00,7:24:00 PM,7.00,7:31:00 PM,0.00,7:31:00 PM,0:26,26,43.33%
29,10/10/2023,n/a,40,8:40:00 PM,9:20:00 PM,0,0.00,n/a,0.00,,0.00,n/a,0.00,n/a,0.00,n/a,0.00,8:40:00 PM,10.00,8:50:00 PM,0:10,10,25.00%
30,10/12/2023,n/a,60,2:25:00 PM,3:25:00 PM,4,0.00,2:25:00 PM,13.00,2:38:00 PM,6.00,2:44:00 PM,7.00,2:51:00 PM,10.00,3:01:00 PM,11.00,3:12:00 PM,31.00,3:43:00 PM,1:18,78,130.00%
,,,64,,,,0.79,,0.66,,2.97,,2.29,,4.25,,6.97,,21.52,,0:39,40,62.50%
